Name,overall,position,age,height,weight,intl_rep,pace,dribbling,shooting,passing,defending,physicality,pref_foot
Gast??n Pereiro,86,CAM,23,188,79,1,84,88,90,85,53,82,Left
Paolo Hurtado,76,CAM,28,176,72,1,82,77,73,73,46,57,Right
Michael Liendl,79,CAM,32,175,74,1,65,78,81,83,64,67,Left
Ondrej Duda,79,CAM,23,181,74,1,75,84,66,78,38,62,Right
Abdenasser El Khayati,75,CAM,29,185,69,1,78,76,77,69,33,70,Right
Macnelly Torres,81,CAM,33,175,72,1,60,80,74,84,41,65,Right
Emil Forsberg,83,CAM,26,179,78,2,75,83,74,83,30,66,Right
Franco V?°zquez,82,CAM,29,186,82,2,64,84,77,79,43,75,Left
Ra??l Garc??a Escudero,81,CAM,32,184,81,2,57,77,76,82,66,76,Right
Giuliano Victor de Paula,81,CAM,28,172,68,2,81,82,76,77,45,73,Right
Ryad Boudebouz,81,CAM,28,177,74,2,76,81,78,82,32,62,Left
Manuel Lanzini,81,CAM,25,167,59,2,82,86,71,78,28,53,Right
Youn?®s Belhanda,81,CAM,28,177,75,2,75,84,77,79,56,70,Right
Ross Barkley,81,CAM,24,189,76,2,77,82,73,77,55,77,Right
Fernando Belluschi,80,CAM,35,173,78,2,70,79,75,81,58,69,Right
Manuel H. Tavares Fernandes,80,CAM,32,176,75,2,79,82,76,79,66,71,Right
Valter Birsa,80,CAM,32,184,81,2,75,82,72,80,49,72,Left
Fabi?°n Orellana,80,CAM,32,171,70,2,80,83,73,76,32,50,Right
Daniel Didavi,80,CAM,28,180,78,2,77,80,81,76,52,72,Left
Du?°an Tadiƒá,80,CAM,29,181,76,2,70,83,67,80,37,64,Left
Yoann Gourcuff,79,CAM,32,185,82,2,65,81,71,80,54,72,Right
Marco Fabi?°n,79,CAM,29,168,65,2,72,81,78,77,36,68,Right
Bernard An??cio Caldeira Duarte,79,CAM,26,164,57,2,88,83,70,75,40,44,Right
Max Meyer,79,CAM,23,173,68,2,72,84,62,77,35,53,Right
Anderson Souza Concei?ß?£o,79,CAM,24,191,80,2,75,76,81,78,59,71,Left
Max Gradel,77,CAM,30,177,70,2,85,80,73,71,44,60,Right
Mehmet Ekici,77,CAM,28,180,76,2,75,78,74,78,61,70,Right
Juan Fernando Quintero,77,CAM,25,169,64,2,74,84,70,77,28,43,Left
Ioannis Fetfatzidis,76,CAM,27,165,61,2,83,80,64,73,25,55,Left
Marcelo Brozovic,84,CAM,25,181,68,2,73,85,79,84,74,72,Right
Fernando Belluschi,83,CAM,35,173,78,2,73,83,80,85,64,74,Right
Anderson Souza Concei?ß?£o,82,CAM,24,191,80,2,78,81,85,84,65,75,Left
Diego Valeri,85,CAM,32,178,75,2,72,85,87,87,42,70,Right
Giuliano Victor de Paula,84,CAM,28,172,68,2,84,86,83,84,48,77,Right
Sergio Canales Madrazo,82,CAM,27,179,65,2,67,83,77,85,30,55,Left
Youn?®s Belhanda,84,CAM,28,177,75,2,78,87,83,84,63,74,Right
Jesse Lingard,82,CAM,25,175,62,2,86,86,82,80,54,75,Right
Jesse Lingard,82,CAM,25,175,62,2,88,88,80,78,57,74,Right
Fabi?°n Orellana,80,CAM,32,171,70,2,80,83,73,76,32,50,Right
Juan Fernando Quintero,77,CAM,25,169,64,2,74,84,70,77,28,43,Left
Ross Barkley,81,CAM,24,189,76,2,77,82,73,77,55,77,Right
Anderson Souza Concei?ß?£o,84,CAM,24,191,80,2,80,84,87,87,68,78,Left
Gast??n Ram??rez,82,CAM,27,183,77,2,75,87,83,85,46,65,Left
Ross Barkley,81,CAM,24,189,76,2,77,82,73,77,55,77,Right
Martin Braithwaite,77,CAM,27,177,77,2,84,77,75,73,34,78,Right
Juan Fernando Quintero,77,CAM,25,169,64,2,74,84,70,77,28,43,Left
Franco V?°zquez,84,CAM,29,186,82,2,67,87,81,84,45,77,Left
Erik Lamela,83,CAM,26,181,80,2,81,86,82,83,49,73,Left
Sergio Canales Madrazo,84,CAM,27,179,65,2,69,86,80,87,33,59,Left
Emanuele Giaccherini,82,CAM,33,167,60,2,82,86,80,83,67,66,Right
Giuliano Victor de Paula,86,CAM,28,172,68,2,86,88,85,86,53,79,Right
Jesse Lingard,80,CAM,25,175,62,2,83,82,78,75,50,68,Right
Kengo Nakamura,79,CAM,37,175,66,2,60,79,79,85,68,70,Right
Anderson Souza Concei?ß?£o,86,CAM,24,191,80,2,82,86,89,89,70,80,Left
Giuliano Victor de Paula,83,CAM,28,172,68,2,83,84,78,79,46,74,Right
Manuel H. Tavares Fernandes,81,CAM,32,176,75,2,79,84,77,79,66,73,Right
Anderson Souza Concei?ß?£o,81,CAM,24,191,80,2,76,77,82,80,59,71,Left
Franco V?°zquez,86,CAM,29,186,82,2,69,89,86,87,47,79,Left
Ra??l Garc??a Escudero,84,CAM,32,184,81,2,60,80,84,85,70,79,Right
Naby Ke?Øta,85,CAM,23,172,64,2,75,91,78,81,64,72,Right
R?©my Cabella,81,CAM,28,171,71,2,84,82,80,82,46,60,Right
Bruno Miguel Borges Fernandes,84,CAM,24,179,69,2,82,85,84,85,66,74,Right
Rafael Alc?¢ntara,84,CAM,25,174,71,2,77,87,83,83,64,66,Left
Mehdi Carcela-Gonz?°lez,81,CAM,29,176,67,2,87,87,80,78,35,59,Left
Diego Valeri,88,CAM,32,178,75,2,77,88,92,91,47,75,Right
Michael Gregoritsch,89,CAM,24,193,87,2,80,90,91,88,50,80,Left
Kengo Nakamura,82,CAM,37,175,66,2,63,82,85,87,71,73,Right
Romain Hamouma,82,CAM,31,178,76,2,82,84,85,82,46,69,Right
Anderson Souza Concei?ß?£o,93,CAM,24,191,80,2,88,93,95,95,77,88,Left
Bruno Miguel Borges Fernandes,92,CAM,24,179,69,2,89,93,92,93,73,82,Right
Ja Cheol Koo,81,CAM,29,183,77,2,78,84,82,78,58,70,Right
Ryad Boudebouz,84,CAM,28,177,74,2,79,86,84,87,34,65,Left
Rafael Alc?¢ntara,81,CAM,25,174,71,2,74,84,76,79,62,64,Left
Du?°an Tadiƒá,80,CAM,29,181,76,2,70,83,67,80,37,64,Left
Daniel Didavi,80,CAM,28,180,78,2,77,80,81,76,52,72,Left
Rodolfo Pizarro,75,CAM,24,173,64,2,85,76,68,74,68,70,Right
Nicol?°s Lodeiro,82,CAM,29,170,69,2,73,84,80,82,40,72,Left
Yoann Gourcuff,79,CAM,32,185,82,2,65,81,71,80,54,72,Right
Taison Barcellos Freda,84,CAM,30,172,64,2,93,88,84,80,51,65,Right
Jae Sung Lee,81,CAM,26,180,70,2,75,81,74,84,66,79,Left
Steven Naismith,79,CAM,32,178,72,2,78,78,80,74,52,85,Right
Denis Cheryshev,83,CAM,27,179,74,2,85,83,81,80,57,74,Left
Jay-Jay Okocha,90,CAM,45,173,70,3,87,94,83,84,40,60,Right
Paulo Dybala,90,CAM,24,177,73,3,87,92,88,86,27,69,Left
Paulo Dybala,88,CAM,24,177,73,3,86,91,85,81,24,67,Left
Christian Eriksen,87,CAM,26,182,76,3,75,84,78,88,47,63,Right
Juan Manuel Mata Garc??a,84,CAM,30,170,63,3,67,84,76,84,32,54,Left
Dele Alli,84,CAM,22,188,80,3,76,82,80,77,64,78,Right
Marco Asensio Willemsen,84,CAM,22,180,75,3,78,83,79,83,39,61,Left
Wesley Sneijder,83,CAM,34,170,72,3,69,82,78,86,38,56,Right
Borja Valero Iglesias,83,CAM,33,175,73,3,70,85,69,85,63,65,Right
?âver Banega,83,CAM,30,174,71,3,69,84,70,85,62,67,Right
Shinji Kagawa,83,CAM,29,175,68,3,70,86,68,76,34,49,Right
Gylfi Sigur??sson,82,CAM,29,186,77,3,66,79,81,84,52,70,Right
Nabil Fekir,82,CAM,25,173,78,3,78,86,79,77,31,72,Left
Hatem Ben Arfa,81,CAM,31,178,74,3,76,85,77,77,35,69,Left
Ricardo Izecson dos Santos Leite,80,CAM,36,186,83,3,62,78,76,79,30,58,Right
Gylfi Sigur??sson,84,CAM,29,186,77,3,68,83,85,87,55,73,Right
Francisco Rom?°n Alarc??n Su?°rez,87,CAM,26,176,74,3,72,90,85,85,55,64,Right
Christian Eriksen,89,CAM,26,182,76,3,76,87,82,91,48,65,Right
Gylfi Sigur??sson,84,CAM,29,186,77,3,68,83,85,87,55,73,Right
Nabil Fekir,85,CAM,25,173,78,3,82,90,84,82,33,80,Left
Ivan Peri?°ic,88,CAM,29,186,79,3,87,86,84,85,46,80,Right
Christian Eriksen,90,CAM,26,182,76,3,77,88,85,92,49,67,Right
Dele Alli,86,CAM,22,188,80,3,79,86,83,80,67,81,Right
Nabil Fekir,87,CAM,25,173,78,3,84,91,88,85,38,82,Left
Andr?© Ayew,80,CAM,28,176,72,3,75,81,74,75,60,77,Left
Christian Eriksen,88,CAM,26,182,76,3,75,85,80,89,47,63,Right
Paulo Dybala,89,CAM,24,177,73,3,86,91,86,84,25,67,Left
Nabil Fekir,84,CAM,25,173,78,3,81,89,80,80,31,79,Left
Raheem Sterling,87,CAM,23,170,69,3,95,88,82,84,51,72,Right
Carlos Vela,84,CAM,29,177,75,3,86,84,85,82,27,68,Left
Felipe Anderson Pereira Gomes,83,CAM,25,175,70,3,93,87,81,80,56,64,Right
Julian Draxler,86,CAM,25,187,72,3,80,89,83,85,38,70,Right
Keisuke Honda,84,CAM,32,182,76,3,84,83,86,83,54,74,Left
Ricardo Izecson dos Santos Leite,92,CAM,36,186,83,3,85,95,91,89,32,73,Right
Carlos T?©vez,78,CAM,34,171,75,3,72,78,78,74,44,74,Right
Vincent Aboubakar,84,CAM,26,184,82,3,86,86,85,82,31,85,Right
Dimitri Payet,86,CAM,31,175,77,3,79,89,82,88,39,72,Right
Santiago Cazorla Gonz?°lez,86,CAM,33,168,66,3,70,88,83,88,63,66,Right
Dele Alli,87,CAM,22,188,80,3,80,88,86,82,68,82,Right
Francisco Rom?°n Alarc??n Su?°rez,88,CAM,26,176,74,3,73,91,88,87,56,66,Right
Lukas Podolski,83,CAM,33,182,83,3,81,83,88,80,42,80,Left
Robin van Persie,82,CAM,35,187,71,3,68,81,85,79,36,67,Left
Christian Eriksen,95,CAM,26,182,76,3,85,94,94,97,62,75,Right
Dele Alli,92,CAM,22,188,80,3,85,93,90,90,72,86,Right
Dimitri Payet,87,CAM,31,175,77,3,82,90,85,90,40,73,Right
Francisco Rom?°n Alarc??n Su?°rez,94,CAM,26,176,74,3,79,97,93,93,62,75,Right
Paulo Dybala,97,CAM,24,177,73,3,95,99,97,96,40,84,Left
Nabil Fekir,94,CAM,25,173,78,3,90,96,95,93,47,90,Left
Shinji Kagawa,86,CAM,29,175,68,3,73,90,78,84,36,52,Right
Hatem Ben Arfa,84,CAM,31,178,74,3,79,89,84,84,38,72,Left
Thomas Lemar,84,CAM,22,170,58,3,85,87,78,82,62,71,Left
Ivan Peri?°ic,86,CAM,29,186,79,3,86,84,81,80,43,76,Right
Dimitri Payet,88,CAM,31,175,77,3,84,91,88,91,42,75,Right
Radja Nainggolan,88,CAM,30,176,77,3,81,86,86,83,83,85,Right
Christian Eriksen,93,CAM,26,182,76,3,81,92,92,95,55,72,Right
Gheorghe Hagi,91,CAM,53,172,68,4,83,90,89,90,43,65,Left
Michael Laudrup,91,CAM,54,183,78,4,85,92,79,90,38,64,Right
Rui Manuel C?©sar Costa,90,CAM,46,180,74,4,86,88,81,88,44,79,Right
Dennis Bergkamp,90,CAM,49,183,78,4,85,88,89,83,35,73,Right
Jari Litmanen,90,CAM,47,181,76,4,82,84,89,84,36,64,Right
Kevin De Bruyne,89,CAM,27,181,68,4,75,85,84,88,45,75,Right
Gheorghe Hagi,89,CAM,53,172,68,4,85,89,87,89,40,65,Left
Mesut ?ñzil,88,CAM,29,180,76,4,71,86,74,87,24,58,Left
Rui Manuel C?©sar Costa,88,CAM,46,180,74,4,82,86,80,87,47,76,Right
Jari Litmanen,88,CAM,47,181,76,4,83,83,89,81,33,64,Right
David Josu?© Jimenez Silva,87,CAM,32,173,67,4,68,87,72,87,38,61,Left
Anderson Lu??s de Souza,87,CAM,41,174,73,4,80,87,77,87,45,63,Right
James Rodr??guez,86,CAM,27,180,75,4,76,83,85,85,40,68,Left
Laurent Blanc,85,CAM,52,190,77,4,83,84,82,75,79,78,Right
Rui Manuel C?©sar Costa,85,CAM,46,180,73,4,84,83,76,84,42,74,Right
Anderson Lu??s de Souza,85,CAM,41,174,73,4,78,85,78,87,45,65,Right
Gheorghe Hagi,85,CAM,53,172,66,4,86,87,84,85,37,63,Left
Robert Pir?®s,85,CAM,44,187,76,4,72,82,80,86,44,66,Right
Wayne Rooney,81,CAM,32,176,83,4,68,76,81,80,52,81,Right
James Rodr??guez,88,CAM,27,180,75,4,78,86,88,90,42,72,Left
Mesut ?ñzil,93,CAM,29,180,76,4,80,88,80,89,25,82,Left
Eden Hazard,92,CAM,27,173,76,4,91,94,86,87,33,70,Right
Antoine Griezmann,89,CAM,27,174,72,4,87,88,87,80,32,70,Left
Eden Hazard,93,CAM,27,173,76,4,92,95,88,89,34,72,Right
Thomas M?ºller,87,CAM,29,186,75,4,78,79,85,79,47,73,Right
Kevin De Bruyne,91,CAM,27,181,68,4,76,87,85,90,48,76,Right
David Josu?© Jimenez Silva,89,CAM,32,173,67,4,68,89,74,88,39,62,Left
?Ångel Di Mar??a,87,CAM,30,180,75,4,90,88,83,84,50,71,Left
James Rodr??guez,88,CAM,27,180,75,4,78,86,88,90,42,72,Left
Kevin De Bruyne,94,CAM,27,181,68,4,80,93,91,94,52,81,Right
Marco Reus,87,CAM,29,180,75,4,89,88,88,86,42,67,Right
James Rodr??guez,94,CAM,27,180,75,4,85,94,94,97,50,83,Left
Marco Reus,96,CAM,29,180,75,4,97,96,96,94,50,82,Right
Wayne Rooney,92,CAM,32,176,83,4,90,91,96,91,72,90,Right
Thomas M?ºller,91,CAM,29,186,75,4,85,86,93,87,53,81,Right
Edson Arantes Nascimento,98,CAM,77,173,70,5,95,96,96,93,60,76,Right
Diego Maradona,97,CAM,57,165,70,5,92,97,93,92,40,76,Left
Ronaldo de Assis Moreira,91,CAM,38,180,76,5,91,92,86,88,36,79,Right
Ronaldo de Assis Moreira,89,CAM,38,180,79,5,80,90,85,88,38,77,Right
Daniele Rugani,80,CB,24,190,82,1,61,64,39,53,83,75,Right
A?Øssa Mandi,78,CB,26,184,78,1,68,69,46,73,78,72,Right
Niklas Stark,78,CB,23,190,81,1,77,67,54,66,78,77,Right
Cl?©ment Lenglet,78,CB,23,186,81,1,73,56,33,52,78,75,Left
Jeffrey Gouweleeuw,77,CB,27,187,75,1,73,63,59,64,78,74,Right
Jes??s Vallejo L?°zaro,77,CB,21,183,74,1,73,63,41,56,79,70,Right
Chancel Mbemba,76,CB,24,182,82,1,74,66,54,53,75,80,Right
Simen S??raunet Wangberg,76,CB,27,188,85,1,64,54,47,60,81,83,Right
Gabriel Mercado,76,CB,31,180,83,1,75,60,54,64,75,81,Right
Pontus Jansson,76,CB,27,196,89,1,62,62,42,52,77,79,Right
Nana Asare,75,CB,32,172,65,1,79,77,59,73,76,71,Left
Christian Kabasele,75,CB,27,188,84,1,73,62,50,49,74,79,Right
Joaqu??n Navarro Jim?©nez,75,CB,28,178,71,1,78,67,47,65,74,77,Right
Leandro Gonz?°lez Pirez,75,CB,26,185,80,1,73,68,48,63,74,79,Right
Nathan Ak?©,75,CB,23,180,75,1,76,66,49,67,74,73,Left
Emanuel Mammana,75,CB,22,183,70,1,79,67,42,61,75,72,Right
Georgiy Dzhikiya,75,CB,24,188,86,1,82,58,51,59,76,77,Left
K?°ri ?Årnason,78,CB,35,190,79,1,40,58,62,68,79,83,Right
Rom?°n Torres,78,CB,32,187,88,1,40,50,54,57,79,85,Right
Kendall Waston,80,CB,30,196,97,1,62,52,43,57,80,89,Right
Aritz Elustondo,82,CB,24,178,72,1,76,67,45,68,82,77,Right
Liam Moore,83,CB,25,185,86,1,80,75,50,72,82,83,Right
Steve Cook,81,CB,27,185,82,1,60,70,32,60,82,82,Right
Gregor Bala?æic,75,CB,30,190,83,1,65,54,40,53,78,78,Right
Jorge Lozano,76,CB,27,186,79,1,60,48,42,41,78,79,Left
Matthijs de Ligt,81,CB,19,188,89,1,75,72,61,72,82,83,Right
Gian Marco Ferrari,80,CB,26,189,82,1,60,50,28,47,83,83,Left
Tore Reginiussen,82,CB,32,185,80,1,75,65,53,68,84,85,Right
Diego Javier Llorente R??os,82,CB,25,186,75,1,65,68,44,68,84,76,Right
Francisco Meza,79,CB,27,184,73,1,76,58,38,57,80,78,Right
Christophe Kerbrat,81,CB,32,185,74,1,69,70,52,66,83,81,Right
Daniele Rugani,83,CB,24,190,82,1,64,70,45,61,85,79,Right
Nathan Ak?©,81,CB,23,180,75,1,80,76,58,77,84,82,Left
Danny Wilson,77,CB,26,187,79,1,70,68,50,63,77,85,Left
Xabier Etxeita Gorritxat.,82,CB,30,185,79,1,58,63,43,54,85,86,Right
Pablo Aguilar,81,CB,31,180,80,1,71,66,58,64,82,85,Right
Paul Baysse,82,CB,30,185,85,1,69,72,52,76,83,84,Right
Alfie Mawson,79,CB,24,188,87,1,62,61,53,52,82,83,Right
Nathan Ak?©,84,CB,23,180,75,1,81,78,62,79,86,83,Left
Ra??l Michel Melo da Silva,82,CB,28,187,81,1,55,61,65,66,82,86,Left
Matthijs de Ligt,84,CB,19,188,89,1,78,76,63,74,85,86,Right
Sean Morrison,78,CB,27,194,84,1,59,55,35,48,79,84,Right
Ognjen Vranje?°,77,CB,28,182,76,1,76,66,60,69,77,78,Right
Nathan Ak?©,77,CB,23,180,75,1,76,67,49,69,78,76,Left
Christopher Schindler,75,CB,28,189,77,1,66,56,32,58,77,76,Right
Jamaal Lascelles,76,CB,24,189,83,1,65,55,27,51,77,77,Right
James Tarkowski,78,CB,25,191,81,1,64,64,43,63,78,79,Right
Ahmed Hegazy,75,CB,27,195,83,1,54,49,20,42,76,76,Right
Milan ?†kriniar,80,CB,23,188,80,1,66,57,43,56,83,78,Right
Mouctar Diakhaby,75,CB,21,189,78,1,56,50,37,44,75,80,Right
Alexander Djiku,76,CB,24,182,74,1,79,68,40,61,76,76,Right
Dayot Upamecano,75,CB,19,185,83,1,80,61,32,58,73,78,Right
Benjamin Pavard,76,CB,22,186,76,1,71,69,43,68,76,68,Right
Gabriel Mercado,78,CB,31,180,83,1,77,63,56,66,78,81,Right
Emanuel Mammana,77,CB,22,183,70,1,79,71,42,67,77,74,Right
Zainadine Chavango J??nior,75,CB,30,178,75,1,71,62,39,55,77,78,Right
N?©stor Araujo,75,CB,27,188,87,1,70,57,41,52,75,79,Right
Ike Opara,75,CB,29,188,82,1,84,57,38,52,75,83,Right
Miha Mevlja,75,CB,28,190,83,1,70,58,38,60,79,75,Right
Aden Flint,75,CB,29,197,83,1,49,43,47,43,73,81,Right
James Chester,81,CB,29,181,79,1,76,70,43,66,82,80,Right
Milan ?†kriniar,83,CB,23,188,80,1,69,62,48,61,86,81,Right
Yerry Mina,80,CB,24,195,94,1,60,58,54,57,81,86,Right
Domagoj Vida,79,CB,29,184,73,1,76,59,40,59,80,78,Right
Matthijs de Ligt,86,CB,19,188,89,1,80,78,65,78,87,88,Right
Lu??s Hern?°ndez Rodr??guez,81,CB,29,182,74,1,76,72,55,72,84,80,Right
Ra??l Michel Melo da Silva,84,CB,28,187,81,1,57,65,70,70,84,88,Left
A?Øssa Mandi,82,CB,26,184,78,1,72,75,51,78,84,76,Right
Alan Sheehan,78,CB,32,180,71,1,72,76,65,80,79,82,Left
Souleymane Bamba,88,CB,33,190,86,1,70,67,45,57,86,88,Right
Charlie Mulgrew,85,CB,32,191,83,1,61,72,82,76,86,81,Left
Carlos Izquierdoz,85,CB,29,184,85,1,55,58,62,62,86,87,Right
Igor Rossi Branco,84,CB,29,189,77,1,62,72,48,73,85,81,Left
Sean Morrison,82,CB,27,194,84,1,61,62,45,56,84,86,Right
Matthijs de Ligt,87,CB,19,188,89,1,81,81,66,81,88,89,Right
Kaan Ayhan,78,CB,23,184,84,1,73,74,66,77,77,80,Right
David L??pez Silva,82,CB,28,183,81,1,65,72,70,75,83,85,Right
Milan ?†kriniar,92,CB,23,188,80,1,75,78,60,80,92,88,Right
Aythami Artiles Oliva,81,CB,32,184,78,1,42,55,60,70,82,81,Right
Matthijs de Ligt,93,CB,19,188,89,1,85,85,71,85,93,94,Right
Maya Yoshida,81,CB,30,189,78,1,68,64,45,54,84,81,Right
Harry Maguire,88,CB,25,188,79,1,70,80,55,88,90,92,Right
N?©stor Araujo,75,CB,27,188,87,1,70,57,41,52,75,79,Right
Mouctar Diakhaby,75,CB,21,189,78,1,56,50,37,44,75,80,Right
Aden Flint,75,CB,29,197,83,1,49,43,47,43,73,81,Right
Joaqu??n Navarro Jim?©nez,75,CB,28,178,71,1,78,67,47,65,74,77,Right
Hannu Patronen,75,CB,34,183,80,1,60,50,60,49,74,80,Right
Wataru Endo,78,CB,25,178,75,1,85,72,55,64,77,80,Right
Cl?©ment Lenglet,78,CB,23,186,81,1,73,56,33,52,78,75,Left
Chancel Mbemba,76,CB,24,182,82,1,74,66,54,53,75,80,Right
Juli?°n Qui?±ones,77,CB,28,195,86,1,40,46,45,48,80,86,Right
Andr?© Ramalho Silva,80,CB,26,182,75,1,68,72,73,73,83,81,Right
Daniel Su?°rez Garcia,76,CB,28,189,86,1,70,56,55,52,76,84,Right
Michael Sollbauer,76,CB,28,186,80,1,60,56,45,53,76,82,Right
Jack Elliott,75,CB,23,196,82,1,68,54,40,52,76,81,Right
Bruno Valdez,79,CB,26,183,79,1,76,60,46,63,82,78,Right
Fabio Aguiar da Silva,76,CB,29,186,78,1,70,47,40,47,76,84,Right
Steve Cook,84,CB,27,185,82,1,63,73,40,65,86,85,Right
Kendall Waston,83,CB,30,196,97,1,66,54,50,60,84,90,Right
Mario Hermoso Canseco,81,CB,23,184,74,1,87,74,47,69,84,83,Left
Harry Maguire,84,CB,25,188,79,1,61,76,56,71,84,86,Right
Alexander Djiku,81,CB,24,182,74,1,84,76,47,73,83,81,Right
Zainadine Chavango J??nior,81,CB,30,178,75,1,77,72,50,64,84,84,Right
Aymeric Laporte,84,CB,24,189,85,2,69,62,50,66,86,78,Left
Eric Bailly,84,CB,24,187,77,2,78,66,42,59,84,84,Right
Lo?Øc Perrin,83,CB,33,181,80,2,68,68,65,69,86,80,Right
Joel Matip,83,CB,27,195,90,2,67,67,46,68,84,78,Right
Niklas S?ºle,83,CB,23,195,97,2,65,50,41,51,83,81,Right
Jos?© Mar??a Gim?©nez,83,CB,23,185,76,2,70,54,45,51,85,81,Right
V??ctor Ru??z Torre,82,CB,29,184,80,2,58,61,42,64,83,81,Left
Francesco Acerbi,82,CB,30,192,88,2,62,59,50,58,85,77,Left
Eric Dier,82,CB,24,188,90,2,63,64,63,71,81,85,Right
Stefan Saviƒá,82,CB,27,187,79,2,63,57,35,52,83,74,Right
Antonio R?ºdiger,82,CB,25,190,85,2,74,64,40,64,82,79,Right
Jonathan Tah,82,CB,22,192,92,2,72,58,27,58,82,78,Right
Gonzalo Rodr??guez,81,CB,34,182,79,2,68,66,47,61,83,76,Right
Davide Astori,81,CB,31,188,80,2,68,61,36,52,84,77,Left
Jos?© Ignacio Fern?°ndez Iglesias,81,CB,28,179,75,2,76,64,37,65,81,78,Right
Michael Keane,81,CB,25,191,82,2,72,68,49,64,82,82,Right
Andreas Christensen,81,CB,22,188,78,2,64,67,31,62,84,69,Right
Davinson S?°nchez,81,CB,22,187,79,2,71,60,47,50,81,83,Right
Sven Bender,80,CB,29,185,81,2,70,61,51,61,82,80,Right
Kevin Vogt,80,CB,27,194,85,2,76,67,57,69,79,80,Right
Yaroslav Rakitskyi,80,CB,29,180,70,2,72,73,68,76,81,78,Left
John Brooks,80,CB,25,193,78,2,74,64,39,57,81,77,Left
Matija Nastasiƒá,80,CB,25,188,83,2,70,52,31,58,82,75,Left
